Auctioner,Location,Date,Year,Make,Model,Engine,HP,Transmisson,Ratio,Mileage,Repairs Cost,Transport Costs,Target Price,max bidding price,Sold For,Details,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"281,436",,"$2,100.00","$53,000","$55,650.00","$71,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"347,892",,"$2,100.00","$47,000","$49,350.00","$64,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"323,414",,"$2,100.00","$51,000","$53,550.00","$65,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"289,344",,"$2,100.00","$53,000","$55,650.00","$71,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"403,173",,"$2,100.00","$48,000","$50,400.00","$58,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"388,717",,"$2,100.00","$49,000","$51,450.00","$61,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"351,812",,"$2,100.00","$50,000","$52,500.00","$57,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"342,997",,"$2,100.00","$50,000","$52,500.00","$61,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"303,472",,"$2,100.00","$51,000","$53,550.00","$66,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"300,671",,"$2,100.00","$47,000","$49,350.00","$62,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"454,603",,"$2,100.00","$47,000","$49,350.00","$50,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"369,428",,"$2,100.00","$48,000","$50,400.00","$63,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"389,237",,"$2,100.00","$47,000","$49,350.00","$61,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"375,261",,"$2,100.00","$48,000","$50,400.00","$63,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"381,375",,"$2,100.00","$48,000","$50,400.00","$61,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"411,357",,"$2,100.00",,$0.00,"$57,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"317,137",,"$2,100.00",,$0.00,"$60,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"387,129",,"$2,100.00","$48,000","$50,400.00","$56,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"423,231",,"$2,100.00","$47,000","$49,350.00","$52,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"329,632",,"$2,100.00","$50,000","$52,500.00","$61,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"298,602",,"$2,100.00","$51,000","$53,550.00","$67,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2024,Volvo,VNL860,Volvo D13N,455,Automated,,"256,593",,"$2,100.00","$113,000","$118,650.00","$99,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2024,Volvo,VNL760,Volvo D13N,455,Automated,,"218,335",,"$2,100.00","$103,000","$108,150.00","$103,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2023,Volvo,VNL760,Volvo D13N,455,Automated,,"348,238",,"$2,100.00","$75,000","$78,750.00","$71,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2023,Volvo,VNL860,Volvo D13N,425,Automated,,"283,569",,"$2,100.00","$90,000","$94,500.00","$91,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2022,Volvo,VNL860,,,Automated,,"498,738",,"$2,100.00","$30,000","$31,500.00","$46,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2021,Volvo,VNL760,Volvo D13N,500,Automated,,"329,521",,"$2,100.00","$65,000","$68,250.00","$56,000.00",,
